last_name,first_name,street,street_number,occupation,section,honorific,additional_notes
Berger,Emil,Militärstrasse,60,Coiffeur,Beundenf.,,
Berger,G.,Schauplatzgasse,15,Schneider,,,
Bell-Qunod,Chs. Theopli.,Hallerstrasse,25,Sekretär bei der Oberpostdirektion,Längg.,,
"Bellevue, Hotel (Gebr. Osswald)",,Inselgasse,3,Hotel,,,
Belloti,Pierre,Murtenstr.,5,Sekretär der Betriebskontrolle d. J. S.,Linde,,
Bengnerel dit Perroud,Ernst Alfr.,Lorrainestr.,8,Waffencontroleur,,,
Benninger,A.,Muesmattstrasse,38,Schreiner,Länggasse,,
Bell,Qunod Chs. Theopli.,,,,,,
Hittmann,J.,Amthausg.,4,Ingenieur,,,
Hitz,E.,Kramg.,58,Glas- und Porzellanwarenhandlung,,,Schosshalde (Höhew. 14 c); Metzgerg. 53
Hobel,Ludw.,Morillonweg,40,Bierbrauer,Weissenbühl,,
Höher,Ad.,Jungfraustrasse,23,Buchhändler,Kirchenfeld,,
Hoch,Karl,Zeughausgasse,20,Schuhhandlung „Au Dock“,,,"Filiale: Kirchenfeld, Bubenbergstrasse 5"
Hcechle- Seiler,E.,Schanzeneckstrasse,7,Musikdirektor; Gesanglehrer am städt. Gymnasium,,,
Höchner,J. J.,Länggassstrasse,58 a,Zuckerbäcker,,,
Hochschulbibliothek,,Herreng.,38,,,,Hochschule (Rektorat): Klosterhof 4
Hochstättler-Horisberger,IL,Luisenstrasse,18,Zuckerwarenfabrik,Kirchenfeld,,
Hochstrasser,Emil,Zimmerweg,17,Monteur,Weissenbühl,,
Hochstrasser,E. Jak.,Stalden,20,Schreiner,,,
Hochstrasser,J.,Weissenbühlweg,44,Schreiner,Weissenbühl,,
Hochstrasser,Joh.,Weissenbühlweg,44,Schlossermeister,Weissenbühl,,
Hochstrasser,Rud.,Junkerng.,7,Schreinermeister,,,
Geiser,Marie,Junkerng.,7,,,,Wwe.
Grossmann,,Postgasse,16,Privatiere,,Frau,
Wiithrich,Rosina,Kesslerg.,4,Pensionshalterin,,,Wwe.
Hochuli,Jak.,Lorrainestrasse,71,Zimmermann,,,
Hodel,A.,Seidenweg,23,Gipser u. Maler,Länggasse,,
Hodel,Emil,Zähringerstrasse,40,Postangestellter,Länggasse,,
Hodel,Fried.,Bubenbergstr.,2,Frucht- und Mehlhandlung,Kirchenfeld,,
Hodel,Ida,Mittelstr.,30,Schneiderin und Lingere,Länggasse,,
Hodel,Joh.,Giessereiweg,33,Huf- u. Wagenschmied,Sulenbach,,
Hof,Joh.,Murtenstrasse,36,Architekt b. d. eidgen. Baudirektion,Linde,,
Hofer,Alb.,Pappelweg,6,Angestellter der Direktion des Armenwesens,Breitenrain,,
Probst,Edmund,,,eidg. Beamter,Kreisgesangverein Bern,Hr.,
Kunz,Rud.,,,,Kreisgesangverein Bern,Hr.,Vicepräsident
Aellig,Rud.,,,Bankkassier,Kreisgesangverein Bern,Hr.,Sekretär
Züttel,E.,,,Bahnbeamter,Kreisgesangverein Bern,Hr.,Kassier
Stauffer,A.,,,Lehrer,Kreisgesangverein Bern,Hr.,Direktor
Ott,Emil,,,Bankbeamter,Liederkranz Frohsinn,Hr.,Präsident
Aellig,Rud.,,,Bankkassier,Liederkranz Frohsinn,Hr.,Vicepräsident / Kassier (auch Sekretär elsewhere)
Mauch,Saml.,,,Weinhändler,Liederkranz Frohsinn,HH.,Kassier
Schweighauser,K.,,,Beamter,Liederkranz Frohsinn,HH.,Kassier
Schätti,Robert,,,Beamt.,Liederkranz Frohsinn,HH.,Sekretär
Hebeisen,Ed.,,,Beamter,Liederkranz Frohsinn,HH.,Sekretär
Schori,Fritz,,,Buchhalter,Liederkranz Frohsinn,HH.,Sekretär
Martin,Lud.,,,eidg. Beamter,Liederkranz Frohsinn,Hr.,Reisekassier
Beutler,Hans,,,Beamter,Liederkranz Frohsinn,HH.,Bibliothekar
Stettier,Einil,,,Buchhalter,Liederkranz Frohsinn,HH.,Bibliothekar
Lenzin,E.,,,Kaufmann,Liederkranz Frohsinn,Hr.,Beisitzer
Höchle,Eug.,,,Musikdirekt.,Liederkranz Frohsinn,Hr.,Direktor
Schneider-Nägeii,Fritz,,,,Männerchor Zähringia,Hr.,Präsident
Jost,Gottl.,,,,Männerchor Zähringia,,Vicepräsident
Bieri,Jak.,,,Metzger,Männerchor Zähringia,„,Kassier
Jenni,Gottl.,,,Metzger,Männerchor Zähringia,„,1. Sekretär
Flückiger,Jak.,,,,Männerchor Zähringia,„,2. Sekretär
Zmutt,Fritz,,,Metzger,Männerchor Zähringia,„,Bibliothek/Bitolioth.
Bieri,F.,,,Buchhalter,Männerchor Zähringia,„,Direktor
Rubin,Alfr.,,,,Mandolinenklub Orchestria,Hr.,Präsident
Galli,E.,,,,Mandolinenklub Orchestria,Hr.,Vizepräsident
Chopard,Herrn.,,,,Mandolinenklub Orchestria,Hr.,Kassier
Brander,Karl,,,,Mandolinenklub Orchestria,Hr.,Sekretär
Bestgen,"A., jun.",,,,Mandolinenklub Orchestria,Hr.,Direktor
Berger,Adolf,,,Bauführer,Männerchor (Christlicher),Hr.,Präsident
Bigler,Christ.,,,Gärtner,Männerchor (Christlicher),Hr.,Vicepräsident
Hummel,Oskar,,,Negt.,Männerchor (Christlicher),Hr.,Kassier
Steiner,Heim.,,,Coiffeur,Männerchor (Christlicher),Hr.,Sekretär
Suter,Heinr.,,,Buchb.,Männerchor (Christlicher),Hr.,Bibliothekar
Mumenthaler,Jak.,,,Beamt.,Männerchor (Christlicher),Hr.,Direktor
Häfeli,G.,,,Confiseur,Männerchor Concordia,Hr.,Präsident
Herren,Rud.,,,Schreinerm.,Männerchor Concordia,Hr.,Vicepräsident
Köhler,Ed.,,,Biichsenm.,Männerchor Concordia,„,Kassier
Häberli,Joh.,,,Sattler,Männerchor Concordia,„,1. Sekretär
Schiirch,Hans,,,Maler,Männerchor Concordia,„,2. Sekretär
Berger,Niki.,,,Camionneur,Männerchor Concordia,Hr.,Bibliothekar
Jordi,A.,,,Lehrer,Männerchor Concordia,Hr.,Direktor
Borei,Jules,Rue de Livourne,73,Generalkonsul,Belgien,Hr.,von Neuenburg und Couvet
Steinmann-Haghe,Dan.,Longue Rue Neuve,30,Konsul,Belgien,Hr.,von St. Gallen
Schaffner,W.,Vestervoldgade,10,Konsul,Dänemark,Hr.,von Basel
Roth,Arnold,Regentenstr.,17,ausserordentl. Gesandter und bevollmächtigter Minister,Deutsches Reich,Hr. Dr.,v. Teufen (Appenzell A.-Ith.)
Vogel,Leo,Regentenstr.,17,Legationsrat,Deutsches Reich,Hr. Dr. jur.,von Zürich
Zeindler,Jul.,Regentenstr.,17,Kanzler,Deutsches Reich,Hr.,von Bellikon (Aargau)
Bringolf,Hans,Regentenstr.,17,Attache,Deutsches Reich,Hr. Dr. jur.,von Schaffhausen
Maegli,Joh.,Rathausmarkt,1,Konsul,Deutschland (Hamburg),Hr.,v. Wiedlisbach (Bern)
Krose,Fr.,Grünenstr.,94,Konsul,Deutschland (Bremen),Hr.,von Bremen
Hirzel,Heinrich,Nonnenstr.,13,Konsul,Deutschland (Leipzig),Hr. Prof. Dr.,von Zürich
Simon,Gustav,Neuer Graben,6,Konsul,Deutschland (Königsberg),Hr.,
Du Bois,Aug.,Börsenstrasse,17,Konsul,Deutschland (Frankfurt a. M.),Hr.,von Locle
Fischer,Gottfr.,Göthestr.,8/o,Konsul,Deutschland (München),Hr.,v. Tennwyl (Aargau)
Kernen,Willi.,Poststr.,7,Konsul,Deutschland (Stuttgart),Hr.,von Thun
Hafter,Karl,Bismarckstr.,L 8.7 a,Konsul,Deutschland (Mannheim),Hr.,von Weinfelden (Thurgau)
Bosio,Aug.,Corso Siccardi,26,Konsul,Italien (Turin),Hr.,von Zuz (Graubünden)
Cramer,Heinrich,Via Borgo Nuovo,11,Konsul,Italien (Mailand),Hr.,v. Zürich
Le Coultre,Cesar,"S. Fantin, Calle Minelli",1893,Konsul,Italien (Venedig),Hr.,von Genf
Thöni,Jacques,Piazza De Marini,1,Konsul,Italien (Genua),Hr.,von Grüsch (Graubünden)
Lieber,Victor,Via del Fante,3,Konsul,Italien (Livorno),Hr.,v. Frauenfeld
Steinhäuslin,Karl,Via Proconsolo,10,Konsul,Italien (Florenz),Hr.,v. Sumiswald
Carlin,Gaston,Via Vicenza,7,ausserordentlicher Gesandter und bevollmächtigter Minister,Italien (Gesandtschaft Rom),Hr. Dr. jur.,von Löwenburg (Bern)
Bourcart,Carl Daniel,"Lexham Gardens W., Cromwell Road",52,ausserordentlicher Gesandter und bevollmächtigter Minister,Grossbritannien,Ilr. Kr. jur.,von Richterswil und Kleinhüningen (Basel-Stadt)
Weiss,Georg G.,1 Water Street,,Konsul,Grossbritannien (Liverpool),Ilr.,von Genf
Rey,D. L.,Rue Cadieux,14,Konsul,"Nordamerika (Montreal, Canada)",Ilr.,von Boudry (Neuenburg)
Bourguignon,Georges-Aug.,,,Konsul,"Ost-Afrika (Port-Louis, Mauritius)",Ilr.,von Neuenstadt
Rutty,Marc.,Margaret Street,58,Konsul,Australien (Sydney),Hr.,für New South Wales
Martin,Charles Pierre Etienne,William Street,119,Konsul,Australien (Melbourne),Hr.,für Victoria
Leutenegger,Jakob,Elizabeth Street,116,Konsul,Australien (Brisbane),Hr.,für Queensland
Borgeaud,Jules,Boulevard Carnot,11,Konsul,Algerien (Algier),Hr.,von Pully (Waadt)
Sider,Friedrich,Rue Théophile Reguis,15,Vicekonsul,Algerien (Philippeville),Hr.,von Zweisimmen (Bern)
Hamburger,Albert,,,Generalkonsul,Griechenland (Patras),Hr.,von Rorschach
Schneider,Louis,Rue St.-Constantin,20,Konsul,Griechenland (Athen),Hr.,von Basel
Ruffy,Eng.,Christoffelgasse,6a,Direktor,Internationales Bureau des Welt-Postvereins,Hr.,
Frey,Emil,Schwanengasse,H II,Direktor,Internationales Bureau der Telegraphenverwaltungen,Hr.,Oberst
Morel,Heinrich,Kanonenweg,14,Direktor,"Internationale Bureaux für gewerbl., litterar. und künstler. Eigentum",Hr.,
Farner,Gottf.,Bundesgasse,40,Vicedirektor,Centralamt für internationalen Eisenbahntransport,Hr.,
Nater,II. L. J.,Breitenrainstrasse,14,Adjunkt des Bauernsekretariats,,,
Salvisbcrg,Emil,Erlachstrasse,9,Chef des Telegraphen-Bureau,Länggasse,,"Hinweis im Text: (Naturhistor. Museum, Waisenhausstrasse 5 53) — possible related note"
Nebel,Alfr.,Brunnmattstrasse,10,Sekretär-Buchführer der Bern-Neuenburg-Balm,Mattenhof,,
Nebel,Joli.,Tannenweg,15,in Fa. Nebel & Petersen,Länggasse,,
Necer,Mich.,Könizstrasse,34,Gipser und Maler (Aarbergergasse 52),,,
Nef,Joh.,Brunngasshalde,35,Maler u. Lackierer (Brunug.32),,,See also Näf (text reference)
Negrotto,Marquis Lazzaro,Hirschengraben,7,Attache bei der ital. Gesandtschaft,,,
Nelier,Ernst Jul.,Belpstrasse,23,in Fa. J. J. M. Neher & Söhne,Mattenhof,,
Nelier,J. M.,Belpstrasse,23,in Fa. J. J. M. Neher & Söhne,Mattenhof,,
Nelier,Ludw. Arm.,Belpstrasse,23,in Fa. J. M. Neher & Söhne,Matterdof,,
Nelier,Paul,Belpstrasse,23,in Fa. J. M. Neher & Söhne,Mattenhof,,
Neisse,M. A.,Neueng.,9,Fürsprecher,,,
Beclieraz,R.,Zeughausgasse,27,prakt. Arzt,,Dr. med.,(Text also shows Rabbenthalstrasse 79 957 referenced)
Neithardt,Alb.,Gutenbergstr.,12,in Firma Neithardt & Kummer,Mattenhof,,
Gigon,A. M.,Zeughausgasse,25,Fussärztin,,,
Hubacher,M.,Gutenbergstrasse,12,Feinwascherin,Mattenhof,Frau,
Huber,Aug.,Marktgasse / Zeughausgasse,12 / 5,"Wirt, Hotel Schmieden",,,
Nenniger,E.,Zimmerweg,20,Controler d. eidg. Kriegsmaterialverwaltung,Weissenbühl,,
Nenniger,Karl,Giessert-iweg,22,Feilenhauer,Sulgcnbach,,
Nenniger,M.,Sulgenauweg,7,Damenschneiderin,,Frl.,
Nenning,Alois,Langmauenweg,15,Gipser- und Malermeister,,,
Neuenschwander,A.,Zeltweg,5,Fegerin,Länggasse,Wwe.,
Neuenschwander,Alb.,Hoclibühlweg,3,Postcommis,Ob. Villette (text fragment),,Street name in source appears hyphenated/uncertain
,Joh.,Quartierhof,11,Magaziner u. Spezereihdlg.,Lorr.,,
,K.,Schifflaube,(46) 1403 46a u. Schauplatzgasse 25 b,Schlossermeister u. Kochherdfabrikant,Matte,,
Kuisel,W. L.,Freie Strasse,11,Angestellter,Länggasse,,
Kulka,C. H.,Turnweg,19,gew. Wirt,Breitenrain,,
Kuli,A.,Postg.,49,Damenschneid.,,Frl.,
Kuli,Emil,Zähringerstr.,44,Lokomotivführer der S. C. B.,Längg.,Herrn.,
Kuli,Jak.,Sodweg,9,Angestellter d. J. S.,Längg.,,
Kuli,Theophil,Bundesrain,16,Kaufmann,,,
Gygax,J. J.,Postgasse,47,Angest. d. Hypotli.-Kasse,,,vom Mai 1900 an Gerechtigkeitsgasse 72
Külling,Joh.,Marktgasse,33,Schlossemeister,,,
Külling,Keinh.,Brunnhofweg,24,Lehrer a. d. Friedbühlschule,Mattenhof,,
Kultusgemeinde,Israelitische,Anatomiegasse,3,,,,
Kummer,Alb.,Seidenweg,16,Fabrikschlosser,Längg.,,
Kummer,Alb.,Postgasse,36,Gipser u. Maler,,,
Kummer,A.,Brunngasse,12,Privatere,,,
Kummer,El.,Seidenweg,16,Maschinenstrickerin,Längg.,,
Kummer,Gottfr.,Sulgeneckstrasse,5 bj,Werkmeister u. Schwellenmeister bei der städtischen Baudirektion,,,
Kummer,Jak.,Höheweg,13,,Schosshalde,Dr. med.,1402
Kummer,J. J.,Junkerng.,19,Direktor des eidg. Versicherungsamtes,,Dr.,
Kummer,Laura,Schwarzthorstrasse,45,Lehrerin d. Friedbühlschule,Mattenhof,,
Kummer,Maria,Aarbergerg.,26,Bureaulistin,,,
Kummer,Marie,Münzrain,1,Damenschneiderin u. Lingere,,,
Kummer,M. M.,Brunngasse,2,Modiste,,,
Kummer,R.,Länggassstr.,55,Bauamtarbeiter,,,
Kummer,Robert,Gutenbergstrasse,14,i. Fa. Neithardt & Kummer,Mattenhof,,
Haller,Alb.,Zähringerstrasse,31,Sekretär beim eidg. Handels-Departement,Länggasse,,
Salzmann,Wwe.,Falkenweg,5 a,,Längg.,,
Kummer-Suter,Fr.,Schifflaube,46,Gipser und Maler,Matte,,
Kümmerly,Ad.,Scheuerrain,8,Schriftsetzer,Mattenhof,,
Kümmerly,Arn.,Hallerstrasse,6,in Firma (Kümmerly & Frey),Längg.,,
Kümmerly,Herrn.,Fellenbergstrasse,7,in Firma Kümmerly & Frey,Längg.,,
Bieri,Elisab.,Seidenw.,21,Schuhmacherei-Geschäft,Länggasse,Frau,
Dennler,Nanette,Brunnmattstrasse,23,,Mattenhof,Wwe.,
Haldemann,,Gesellschaftsstrasse,52,Damenschneid.,Länggasse,Frau,
Jost,M.,Schwarzthorstrasse,53 a,,Mattenhof,,Witwe des Spezierers
Keller,,Lorrainestrasse,56,Kleiderreinigerin,,Wwe.,
Schwarz,Sus. M.,Lorrainestrasse,51,,,Wwe.,
Selhofer,Ros.,Schauplatzgasse,15,,,Wwe.,
Jost-Walter,Magd.,Klaraweg,7,Militärschneiderin,Schosshalde,Frau,
Juat-Sessler,li.,Gurtengasse,6,2. Kanzlist b. eidg. Amt f. geist. Eigentum,,,
Juchli,Frz. Jos.,Marzilistrasse,32,Schreiner,,,
Jucker,Edm. u. Otto,Kl. Wabern,1172,Brauereidirektoren,,,
Aufenast,Joh. Jak.,Hallerstrasse,28,Buchbinder,Länggasse,,
König,J.,Zeughausg.,25,Privatier,,,
Kummer,M. A.,Brunngasse,20,Privatier,,Wwe.,
Jufer-Howald,Anna,Steinauweg,12,,Beaumont,Wwe.,
Julien,Lucien,Jurastr.,60,Kaufin.,Lorr.,,
Jung,Gottl.,Länggassstrasse,32,Hilfsangestellter b. techn. Inspektorat des Eisenbahndepart.,,,
Kaiser,Armin,Gesellschaftsstr.,36,Apotheker,Lgg.,Dr.,
Keller,Alb.,Marktgasse,61,Schneider,,,
Keller,Gottl.,Kramgasse,27,Schweinemetzger,,,
Kellerhals,Oswald,Metzgergasse,56,Schuhmacher,,,
Kammer,Fritz,Könizstrasse,44,Metzgermeister,Mattenhof,,
Käser,Chr.,Gerechtigkeitsg.,69,Bäcker,,,
Kästli,Alfred,Friedheimweg,12,Kupferschmied,Weissenbiihl,,
Keller-Bäehli,Anna,Aarbergergasse,21,Lingere,,,
Kienast,Alfred,Kramgasse,3,Kaufmann,,,
Kiener,Ida,Rodtmattweg,29,Knabenschneiderin,Wyler,,
Kienle,Joh. Adam,Mattenenge,9,Schreinermeister,Matte,,
Knecht,F. A.,Waghausg.,2,Buchhalter,,,
Fr.,,Erlachstrasse,5,Hülfsweibel im neuen Bundesrathaus,Längg.,,
Fr.,Karl,Aarbergerg.,48,Magaziner,,,
Hiirst,Karl Rob.,Herreng.,17,Lithogr.,,,
Rud.,,Münzrain,1,Landjägerhauptmann u. Adjunkt d. kant. Polizeiinspektorats,,,
Stegmann,M.,Waisenhausplatz,2,Coiffeuse; Specialistin für hygien. Haarpflege,,Frau,
Stooss,Rud.,Belpstrasse,41,Beamter der J. S.,Mattenhof,,
Wildbolz,Sopn.,Herrengasse,17,Krankenpflegerin u. Masseuse,,,
Hurtig-Hachen,Elisab.,Forstweg,44,Gremplerin,Länggasse,Wwe.,
Hürzeler,F.,Fichtenweg,17,"Notar, Sekretär d. städt. Polizeidirektion",Längg.,,Telefonnummer 681 (im Eintrag)
Jak.,,Murtenstrasse,43,Schmiedmeister,Linde,,
,Joh. Rob.,Worbstrasse,9,Bureaulist,Schosshalde,,
Huser,Fr.,Neueng.,33,Schuhmacher,,,
Husi,Otto,Gewerbestrasse,22,Lokomotivführer,Längg.,,
Husi-Zaugg,,Waghausgasse,12,Kleider- & Merceriehandlung; Specialität in Berner-Kostümen,,Wwe.,Stand Spitalgasse 1
Huss-Meng,Antonia,Gerechtigkeitsgasse,43,Privatiere,,,
Hüsser,J.,Mittelstrasse,22,Schneidermeister,Längg.,,
Kreienbiuhl,Marie,Waghausgasse,8,Abwärterin auf dem Bahnhof,,,
Hustädt,H.,Metzgerg.,69,Schneider,,,
Hutmacher,G.,Schauplatzgasse,22,Lehrer a. d. Primarschule der mittleren Stadt,,,
,Henr.,Stalden,36,Lehrerin a. d. Mattenschule,,,
,Karl,Weissensteinstrasse,7 a,Bauamtarbeiter,,,(alte Reitschule)
Hutter,Rosa,Gerechtigkeitsg.,37,Angest. d. intern. Telegr.-Bureau,,,
Merz,,Gerechtigkeitsgasse,37,Privatiere,,Witwe,
Huttinger,Th.,Lorrainestrasse,9,"Architekt, Assistent d. Direktors des kantl. Gewerbemus.",,,
Hutzli,Jak.,Rodtmattweg,12,Geschäftsreisender,Wyler,,
,J. Fr. A.,Rodtmattweg,12,Angestellter,Wyler,,
,Jos.,Weissensteinstr.,7 a,Wagner,,,
,Karl,Weissensteinstrasse,7,Bahnarbeiter,,,
,M.,Weissensteinstrasse,7,Gemüsehändlerin,,Frau,
Huwiler,C. L.,Brunnhofweg,13,Buchbinder,Mattenhof,,
,Jos. Mart.,Belpstrasse,57,Packer,Mattenhof,,
,Karl Jos.,Belpstrasse,57,Magaziner,Mattenhof,,
Hydrometr. Bureau,,Amthausg.,17,,,,Einrichtungs-/Institutionseintrag
Hypothekarkasse des Kantons Bern,,Zubenbergplatz,13,,,,Institution
I.Ibach,Gottfr.,Könizstrasse,60,Schriftsetzer,Mattenhof,,
Iff,Gottl. Aug.,Mattenhofstrasse,27,Schlosser,,,
,Jak.,Ringstrasse,5,Revisor der eidg. Finanzkontrolle,Kirchenf.,,
,Joh. Fr.,Sulgenauweg,6,Sek.-Lehrer,Sulgenbach,,
Lüthy,E.,Sulgenauweg,6,Lehrerin d. Sulgenbachschule,,Frau,
III,Joh. Hrch.,Zaunweg,16,Büchsenmacher,Breitenrain,,
lllig,Kasp. Ant.,Lorrainestrasse,6 a,Buchdrucker,,,
Imbert-Scheidegger,M. El.,Kramgasse,4,Privatiere,,,
Imer,Friedr. Gust.,Rütlistrasse,12,Pferdewärter,Beundenfeld,,
Imboden,H. H. W.,Pavillonweg,13,Kaufmann,Stadtbach,,
,J. II.,Malerw.,15,Dep.-Sekretär des eidgenöss Finanzdep.,Längg.,,
Gerber,Fr.,,,Pfarrer,Lehrerseminar Direktion,HH.,Präsid.
v. Fellenberg-Thormann,Frz.,,,Kassier,Lehrerseminar Direktion,,
Joss,Jak.,,,Konrektor,Lehrerseminar Direktion,,Sekretär
Bernard,A.,,,Pfarrer,Lehrerseminar Direktion,,
Koller,G.,,,Ingenieur,Lehrerseminar Direktion,,
Strahm,Fr.,,,Pfarrer,Lehrerseminar Direktion,,
v. Wattenwyl,J.,,,Oberst,Lehrerseminar Direktion,,von der Elfenau
v. Rütte,A.,,,gew. Pfarrer,Lehrerseminar Direktion,,
Fankhauser-Gysi,Fr.,,,Geomet,Lehrerseminar Direktion,,
Gerber,Ernst,,,Pfarrer,Lehrerseminar Direktion,,
Kummer,J.,,,Dr. med.,Lehrerseminar Direktion,,
v. Tscharner-v. Wattenwyl,Gottfr.,,,,Lehrerseminar Direktion,,
Born,Karl,,,Lehrer,Lehrerseminar Lehrer,,
Buchmüller,Gottfr.,,,Lehrer,Lehrerseminar Lehrer,,
Burri,Fr.,,,Lehrer,Lehrerseminar Lehrer,,
Flury,Ad.,,,Lehrer,Lehrerseminar Lehrer,,
Geissbühler,J. Fr.,,,Lehrer,Lehrerseminar Lehrer,,
Gerber,Ed.,,,Lehrer,Lehrerseminar Lehrer,,
Howald,J.,,,Lehrer,Lehrerseminar Lehrer,,
Hugendubel,H.,,,Pfarrer / Lehrer,Lehrerseminar Lehrer,,
Joss,Fr.,,,Lehrer,Lehrerseminar Lehrer,,
Krebs,A.,,,Lehrer,Lehrerseminar Lehrer,,
Kriemler,Ulr.,,,Lehrer,Lehrerseminar Lehrer,,Schreiben im Prog. und Turnen in der Elementarschule (in other context)
Gerber,F.,,,Pfarrer / Lehrer,Lehrerseminar Lehrer,,
Joss,J.,,,Konrektor,Lehrerseminar Lehrer,,
Siegenthaler,F.,,,Hausvater,Lehrerseminar Lehrer,,
Preiswerk,IL,,,Direktor,Freies Gymnasium Direktion,Hr.,Präsident (Direktor)
v. Tavel-v. Wattenwyl,A.,,,Präsident,Freies Gymnasium,Hr.,
v. Tscharner,L.,,,Oberst,Freies Gymnasium,Dr.,Vicepräsident
Hahn,Otto,,,Kassier,Freies Gymnasium,Hr.,
v. Fischer,K. D. F.,,,Aktuar,Freies Gymnasium,Hr.,Gmdrat.
Bernard,A.,,,Pfarrer,Freies Gymnasium Mitglieder,,
Bovet,Ä.,,,Pfarrer,Freies Gymnasium Mitglieder,,
Gerber,F.,,,Pfarrer,Freies Gymnasium Mitglieder,,
v. Sinner,K.,,,Oberst,Freies Gymnasium Mitglieder,,
Strahm,Fr.,,,Pfarrer,Freies Gymnasium Mitglieder,,
Barth,F.,,,Prof.,Freies Gymnasium Mitglieder,,
v. Büren,Franz,,,Notar,Freies Gymnasium Mitglieder,,
v. Mülinen,Fr. W.,,,Prof.,Freies Gymnasium Mitglieder,,
Hadorn,F.,,,Unterdirektor; Lehrer (Elementarschule),Freies Gymnasium,Hr.,für d. Elementarschule
Schlachter,Dr.,,,Griech. Lehrer,Gymnasium Ober-Prima,Hr.,
Huber,D.,,,Latein- und Deutschlehrer,Prima,Hr.,
Dr. Huber,Rud.,,,Mathematik und Physik Lehrer,Secunda,Hr.,
Wüscher,Dr.,,,Griechisch und Französisch Lehrer,Tertia,Hr.,
Dr. Im Hof,,,,Religion und Deutsch Lehrer,Quart,Hr.,
Appenzeller,G. F.,,,Religion und Griechisch/ Latein Lehrer,Progymnasium I. Klasse,Hr.,
Dr. Beck,G.,,,"Religion, Naturkunde, Geographie, Mathematik Lehrer",Progymnasium II. Klasse,Hr.,
Steinemann,G.,,,"Religion, Deutsch, Rechnen, Geschichte Lehrer",Progymnasium III. Klasse,Hr.,
Joss,F.,,,"Religion, Deutsch, Rechnen Lehrer",Progymnasium IV. Klasse,Hr.,
Pfister,G.,,,Lehrer; Turnen im Prog.,Elementarschule II. u. III. Klasse,Hr.,
Kriemler,Ulr.,,,Lehrer; Schreiben im Prog. und Turnen,Elementarschule III. u. IV. Klasse,Hr.,
Dir. Preiswerk,II.,,,Religion und Latein Lehrer (Fachlehrer),Fachlehrer Gymnasium/Prog.,Hr.,
Barth,F.,,,Religion Lehrer,Fachlehrer,Prof.,
Dr. Graf,J. II.,,,Mathematik Lehrer,Fachlehrer,Prof.,
Weber,O.,,,Englisch und Latein Lehrer,Fachlehrer,,
Dr. Grüner,P.,,,"Mathematik, Techn. Zeichnen Lehrer",Fachlehrer,,
Baumgartner,Pfr.,,,Religion Lehrer,Fachlehrer,,
Blau,A.,,,Französisch und Zeichnen Lehrer,Fachlehrer,,
Rennefahrt,,,,Musikdirektor; Gesang Lehrer,Fachlehrer / Musikschule,Musikdirektor,
Grimm,Chr.,,,Abwart,Musikschule,Hr.,
Dumermuth,Gottfr.,,,Direktor,Neue Mädchenschule Direktion,Hr.,
Steiger,J.,,,Kassier; Lehrer,Neue Mädchenschule Direktion,Hr.,
v. Sinner,Rud.,,,Präsident,Neue Mädchenschule Direktion,Hr.,
Joss,Jak.,,,Vicepräsident; Konrektor,Neue Mädchenschule Direktion,Hr.,
Barth,F.,,,"Prof., Theologie, Kirchengeschichte",Neue Mädchenschule Lehrer,Hr.,
